iter	MultiClass
0	1.312554084
1	1.14703194
2	1.056816997
3	1.011360292
4	0.9645439345
5	0.9283955927
6	0.9045820157
7	0.8990901421
8	0.885172791
9	0.8467264098
10	0.8321880602
11	0.8144900881
12	0.8000787561
13	0.7754879563
14	0.7630358643
15	0.7453005693
16	0.7203818942
17	0.7002844817
18	0.6828774415
19	0.6748827733
20	0.6567484223
21	0.6471449605
22	0.6397902918
23	0.6345512576
24	0.6171088422
25	0.6127121023
26	0.602327487
27	0.5932828104
28	0.5833152189
29	0.5680025983
30	0.5546389217
31	0.5392608171
32	0.5315798577
33	0.5276142912
34	0.5205924401
35	0.5131780393
36	0.5085173868
37	0.5045979377
38	0.4899157916
39	0.4858339105
40	0.4795564368
41	0.4738689598
42	0.4699919014
43	0.4655387856
44	0.4623009894
45	0.453985945
46	0.4504645087
47	0.4479827405
48	0.443454716
49	0.4400030435
50	0.4307012096
51	0.4224311021
52	0.4193174912
53	0.4129821257
54	0.4083582595
55	0.4054921014
56	0.4024163723
57	0.3997845858
58	0.3973358277
59	0.394093966
60	0.3857007506
61	0.3803462546
62	0.376805701
63	0.3741717966
64	0.3684789044
65	0.3652842398
66	0.3632273348
67	0.3609453215
68	0.3588843496
69	0.3525157023
70	0.3501887537
71	0.347929103
72	0.3462458338
73	0.343953956
74	0.3422599248
75	0.3366711685
76	0.334423605
77	0.3310841156
78	0.3294491697
79	0.3273970164
80	0.3260965014
81	0.3196243433
82	0.3180428416
83	0.3153373664
84	0.3131484895
85	0.3102761863
86	0.3089054729
87	0.3063520993
88	0.3007091605
89	0.2993194649
90	0.2978643421
91	0.2960369011
92	0.2948487578
93	0.293472525
94	0.2917597067
95	0.2901283417
96	0.286263153
97	0.2849748846
98	0.2831364115
99	0.2815673694
