iter	Passed	Remaining
0	206	20439
1	289	14175
2	363	11749
3	434	10434
4	488	9282
5	528	8272
6	565	7512
7	604	6951
8	642	6491
9	677	6097
10	713	5769
11	750	5506
12	789	5285
13	825	5071
14	859	4867
15	893	4691
16	926	4522
17	959	4369
18	995	4242
19	1031	4125
20	1067	4016
21	1103	3913
22	1139	3813
23	1172	3713
24	1207	3622
25	1242	3536
26	1279	3460
27	1314	3379
28	1348	3300
29	1383	3227
30	1417	3155
31	1453	3087
32	1488	3022
33	1523	2957
34	1557	2893
35	1591	2829
36	1626	2768
37	1663	2713
38	1698	2657
39	1735	2603
40	1770	2547
41	1803	2490
42	1836	2434
43	1868	2377
44	1900	2323
45	1944	2282
46	1996	2251
47	2041	2211
48	2078	2162
49	2113	2113
50	2146	2062
51	2179	2011
52	2212	1962
53	2246	1913
54	2280	1865
55	2313	1817
56	2346	1769
57	2380	1724
58	2415	1678
59	2449	1633
60	2483	1587
61	2517	1542
62	2550	1497
63	2583	1453
64	2617	1409
65	2650	1365
66	2683	1321
67	2716	1278
68	2750	1235
69	2784	1193
70	2819	1151
71	2854	1109
72	2887	1067
73	2923	1027
74	2957	985
75	2991	944
76	3023	903
77	3057	862
78	3091	821
79	3125	781
80	3159	741
81	3192	700
82	3226	660
83	3261	621
84	3294	581
85	3331	542
86	3364	502
87	3398	463
88	3430	424
89	3466	385
90	3499	346
91	3533	307
92	3567	268
93	3601	229
94	3635	191
95	3668	152
96	3704	114
97	3739	76
98	3773	38
99	3809	0
